Wall Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Assembly Code,Assembly Description,Base Constraint,Family and Type,Length,Structural Material,Top Constraint,Type,Width
280 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',4' - 11",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
140 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1'9",2' - 10",Clad - White,Up to level: Level 5,EXT W - 1'9",1' - 9"
120 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',2' - 10 1/2",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
210 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",3' - 6",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
641 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",11' - 0",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
161 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",3' - 6",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
225 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",4' - 0",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
1194 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",20' - 2 7/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
325 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 9",3' - 10 3/4",Clad - White,Up to level: Level 5,EXT W - 9",0' - 9"
1113 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 2',19' - 0 5/8",Clad - White,Up to level: Level 5,EXT W - 2',2' - 0"
611 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W -3',11' - 2 5/32",Clad - White,Up to level: Level 5,EXT W -3',3' - 0"
1598 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1'4",26' - 4 19/32",Clad - White,Up to level: Level 5,EXT W - 1'4",1' - 4"
450 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 3' 2",7' - 6",Clad - White,Up to level: Level 5,EXT W - 3' 2",3' - 2"
105 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 3' 5",2' - 1 1/2",Clad - White,Up to level: Level 5,EXT W - 3' 5",3' - 5"
167 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 3' 2",3' - 1 7/8",Clad - White,Up to level: Level 5,EXT W - 3' 2",3' - 2"
28 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1'4",1' - 2 19/32",Clad - White,Up to level: Level 5,EXT W - 1'4",1' - 4"
198 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 2',3' - 3 17/32",Clad - White,Up to level: Level 5,EXT W - 2',2' - 0"
311 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 3' 6",5' - 11 5/32",Clad - White,Up to level: Level 5,EXT W - 3' 6",3' - 6"
865 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 2' 7",14' - 5",Clad - White,Up to level: Level 5,EXT W - 2' 7",2' - 7"
184 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 4',3' - 0 23/32",Clad - White,Up to level: Level 5,EXT W - 4',4' - 0"
1231 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 2',20' - 6 9/32",Clad - White,Up to level: Level 5,EXT W - 2',2' - 0"
173 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 4' 4",2' - 10 11/16",Clad - White,Up to level: Level 5,EXT W - 4' 4",4' - 4"
57 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 2' 7",0' - 11 13/32",Clad - White,Up to level: Level 5,EXT W - 2' 7",2' - 7"
317 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 4',5' - 3 3/8",Clad - White,Up to level: Level 5,EXT W - 4',4' - 0"
195 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 2' 2",3' - 0 3/4",Clad - White,Up to level: Level 5,EXT W - 2' 2",2' - 2"
955 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
940 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 5 1/16",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
931 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 3 1/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
931 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 3 1/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
931 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 3 1/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
931 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 3 1/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
931 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 3 1/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
931 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 3 1/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
931 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 3 1/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
